energy,hr,day,month,year,date,diff,ma3,ma7,diff_filled
953691,11,17,8,2025,2025-08-17,0,0,0,0
953709,12,17,8,2025,2025-08-17,18,18,18,18
953805,16,17,8,2025,2025-08-17,96,96,96,96
953889,21,17,8,2025,2025-08-17,84,84,84,84
953977,4,18,8,2025,2025-08-18,88,88,88,88
953977,17,18,8,2025,2025-08-18,0,0,0,0
953977,19,18,8,2025,2025-08-18,0,0,0,0
954391,22,18,8,2025,2025-08-18,414,414,414,414
954459,24,18,8,2025,2025-08-18,68,68,68,68
954636,7,19,8,2025,2025-08-19,177,177,177,177
954677,8,19,8,2025,2025-08-19,41,41,41,41
954690,9,19,8,2025,2025-08-19,13,13,13,13
954950,18,19,8,2025,2025-08-19,260,260,260,260
954959,19,19,8,2025,2025-08-19,9,9,9,9
954991,20,19,8,2025,2025-08-19,32,32,32,32
955014,21,19,8,2025,2025-08-19,23,23,23,23
955025,22,19,8,2025,2025-08-19,11,11,11,11
955085,1,20,8,2025,2025-08-20,60,60,60,60
955108,2,20,8,2025,2025-08-20,23,23,23,23
955110,3,20,8,2025,2025-08-20,2,2,2,2
955119,4,20,8,2025,2025-08-20,9,9,9,9
955387,15,20,8,2025,2025-08-20,268,268,268,268
955419,16,20,8,2025,2025-08-20,32,32,32,32
955447,17,20,8,2025,2025-08-20,28,28,28,28
955466,18,20,8,2025,2025-08-20,19,19,19,19
955503,19,20,8,2025,2025-08-20,37,37,37,37
955518,20,20,8,2025,2025-08-20,15,15,15,15
955553,21,20,8,2025,2025-08-20,35,35,35,35
955584,22,20,8,2025,2025-08-20,31,31,31,31
955595,23,20,8,2025,2025-08-20,11,11,11,11
955642,1,21,8,2025,2025-08-21,47,47,47,47
955707,5,21,8,2025,2025-08-21,65,65,65,65
957450,9,24,8,2025,2025-08-24,1743,1743,1743,1743
957465,10,24,8,2025,2025-08-24,15,15,15,15
957482,11,24,8,2025,2025-08-24,17,17,17,17
957494,12,24,8,2025,2025-08-24,12,12,12,12
957494,13,24,8,2025,2025-08-24,0,0,0,0
957527,14,24,8,2025,2025-08-24,33,33,33,33
957538,15,24,8,2025,2025-08-24,11,11,11,11
957556,16,24,8,2025,2025-08-24,18,18,18,18
957572,17,24,8,2025,2025-08-24,16,16,16,16
957584,18,24,8,2025,2025-08-24,12,12,12,12
957591,19,24,8,2025,2025-08-24,7,7,7,7
957629,21,24,8,2025,2025-08-24,38,38,38,38
957666,23,24,8,2025,2025-08-24,37,37,37,37
957681,24,24,8,2025,2025-08-24,15,15,15,15
957681,1,25,8,2025,2025-08-25,0,0,0,0
957784,6,25,8,2025,2025-08-25,103,103,103,103
957811,7,25,8,2025,2025-08-25,27,27,27,27
957832,8,25,8,2025,2025-08-25,21,21,21,21
957840,9,25,8,2025,2025-08-25,8,8,8,8
957872,10,25,8,2025,2025-08-25,32,32,32,32
957878,11,25,8,2025,2025-08-25,6,6,6,6
957967,13,25,8,2025,2025-08-25,89,89,89,89
958011,14,25,8,2025,2025-08-25,44,44,44,44
958039,15,25,8,2025,2025-08-25,28,28,28,28
958057,16,25,8,2025,2025-08-25,18,18,18,18
958094,17,25,8,2025,2025-08-25,37,37,37,37
958122,18,25,8,2025,2025-08-25,28,28,28,28
958143,19,25,8,2025,2025-08-25,21,21,21,21
958169,20,25,8,2025,2025-08-25,26,26,26,26
958195,21,25,8,2025,2025-08-25,26,26,26,26
958215,22,25,8,2025,2025-08-25,20,20,20,20
958245,24,25,8,2025,2025-08-25,30,30,30,30
958250,1,26,8,2025,2025-08-26,5,5,5,5
958250,24,25,8,2025,2025-08-25,0,0,0,0
958250,1,26,8,2025,2025-08-26,0,0,0,0
958250,24,25,8,2025,2025-08-25,0,0,0,0
958250,1,26,8,2025,2025-08-26,0,0,0,0
958250,24,25,8,2025,2025-08-25,0,0,0,0
958250,1,26,8,2025,2025-08-26,0,0,0,0
958256,24,25,8,2025,2025-08-25,6,6,6,6
958258,1,26,8,2025,2025-08-26,2,2,2,2
958258,24,25,8,2025,2025-08-25,0,0,0,0
958259,1,26,8,2025,2025-08-26,1,1,1,1
958259,24,25,8,2025,2025-08-25,0,0,0,0
958260,1,26,8,2025,2025-08-26,1,1,1,1
958263,24,25,8,2025,2025-08-25,3,3,3,3
958263,1,26,8,2025,2025-08-26,0,0,0,0
958263,24,25,8,2025,2025-08-25,0,0,0,0
958265,1,26,8,2025,2025-08-26,2,2,2,2
958308,2,26,8,2025,2025-08-26,43,43,43,43
958319,3,26,8,2025,2025-08-26,11,11,11,11
958388,6,26,8,2025,2025-08-26,69,69,69,69
958421,7,26,8,2025,2025-08-26,33,33,33,33
958449,8,26,8,2025,2025-08-26,28,28,28,28
958451,9,26,8,2025,2025-08-26,2,2,2,2
958468,10,26,8,2025,2025-08-26,17,17,17,17
958500,11,26,8,2025,2025-08-26,32,32,32,32
958518,12,26,8,2025,2025-08-26,18,18,18,18
958551,13,26,8,2025,2025-08-26,33,33,33,33
958558,14,26,8,2025,2025-08-26,7,7,7,7
958578,15,26,8,2025,2025-08-26,20,20,20,20
958602,16,26,8,2025,2025-08-26,24,24,24,24
958644,17,26,8,2025,2025-08-26,42,42,42,42
958662,18,26,8,2025,2025-08-26,18,18,18,18
958683,19,26,8,2025,2025-08-26,21,21,21,21
958700,20,26,8,2025,2025-08-26,17,17,17,17
958721,21,26,8,2025,2025-08-26,21,21,21,21
958739,22,26,8,2025,2025-08-26,18,18,18,18
958739,23,26,8,2025,2025-08-26,0,0,0,0
958770,24,26,8,2025,2025-08-26,31,31,31,31
958778,1,27,8,2025,2025-08-27,8,8,8,8
958802,2,27,8,2025,2025-08-27,24,24,24,24
958804,3,27,8,2025,2025-08-27,2,2,2,2
958831,5,27,8,2025,2025-08-27,27,27,27,27
958888,7,27,8,2025,2025-08-27,57,57,57,57
958907,8,27,8,2025,2025-08-27,19,19,19,19
958915,9,27,8,2025,2025-08-27,8,8,8,8
