"energy","hr","day","month","yr"
953691,11,17,8,2025
953709,12,17,8,2025
953805,16,17,8,2025
953889,21,17,8,2025
953977,4,18,8,2025
953977,17,18,8,2025
953977,19,18,8,2025
954391,22,18,8,2025
954459,24,18,8,2025
954636,7,19,8,2025
954677,8,19,8,2025
954690,9,19,8,2025
954950,18,19,8,2025
954959,19,19,8,2025
954991,20,19,8,2025
955014,21,19,8,2025
955025,22,19,8,2025
955085,1,20,8,2025
955108,2,20,8,2025
955110,3,20,8,2025
955119,4,20,8,2025
955387,15,20,8,2025
955419,16,20,8,2025
955447,17,20,8,2025
955466,18,20,8,2025
955503,19,20,8,2025
955518,20,20,8,2025
955553,21,20,8,2025
955584,22,20,8,2025
955595,23,20,8,2025
955642,1,21,8,2025
955707,5,21,8,2025
957450,9,24,8,2025
957465,10,24,8,2025
957482,11,24,8,2025
957494,12,24,8,2025
957494,13,24,8,2025
957527,14,24,8,2025
957538,15,24,8,2025
957556,16,24,8,2025
957572,17,24,8,2025
957584,18,24,8,2025
957591,19,24,8,2025
957629,21,24,8,2025
957666,23,24,8,2025
957681,24,24,8,2025
957681,1,25,8,2025
957784,6,25,8,2025
957811,7,25,8,2025
957832,8,25,8,2025
957840,9,25,8,2025
957872,10,25,8,2025
957878,11,25,8,2025
957967,13,25,8,2025
958011,14,25,8,2025
958039,15,25,8,2025
958057,16,25,8,2025
958094,17,25,8,2025
958122,18,25,8,2025
958143,19,25,8,2025
958169,20,25,8,2025
958195,21,25,8,2025
958215,22,25,8,2025
958245,24,25,8,2025
958250,1,26,8,2025
958250,24,25,8,2025
958250,1,26,8,2025
958250,24,25,8,2025
958250,1,26,8,2025
958250,24,25,8,2025
958250,1,26,8,2025
958256,24,25,8,2025
958258,1,26,8,2025
958258,24,25,8,2025
958259,1,26,8,2025
958259,24,25,8,2025
958260,1,26,8,2025
958263,24,25,8,2025
958263,1,26,8,2025
958263,24,25,8,2025
958265,1,26,8,2025
958308,2,26,8,2025
958319,3,26,8,2025
958388,6,26,8,2025
958421,7,26,8,2025
958449,8,26,8,2025
958451,9,26,8,2025
958468,10,26,8,2025
958500,11,26,8,2025
958518,12,26,8,2025
958551,13,26,8,2025
958558,14,26,8,2025
958578,15,26,8,2025
958602,16,26,8,2025
958644,17,26,8,2025
958662,18,26,8,2025
958683,19,26,8,2025
958700,20,26,8,2025
958721,21,26,8,2025
958739,22,26,8,2025
958739,23,26,8,2025
958770,24,26,8,2025
958778,1,27,8,2025
958802,2,27,8,2025
958804,3,27,8,2025
958831,5,27,8,2025
958888,7,27,8,2025
958907,8,27,8,2025
958915,9,27,8,2025
958960,10,27,8,2025
958987,11,27,8,2025
959012,12,27,8,2025
959039,13,27,8,2025
959065,14,27,8,2025
959088,15,27,8,2025
959123,16,27,8,2025
959128,17,27,8,2025
959275,21,27,8,2025
959300,22,27,8,2025
959400,1,28,8,2025
959454,3,28,8,2025
959501,5,28,8,2025
959584,7,28,8,2025
959658,9,28,8,2025
959688,10,28,8,2025
959716,11,28,8,2025
959723,12,28,8,2025
959768,13,28,8,2025
959793,14,28,8,2025
959812,15,28,8,2025
959838,16,28,8,2025
959865,17,28,8,2025
959892,18,28,8,2025
959924,19,28,8,2025
959956,20,28,8,2025
959986,21,28,8,2025
960015,22,28,8,2025
960047,23,28,8,2025
960077,24,28,8,2025
960105,1,29,8,2025
960114,2,29,8,2025
960246,6,29,8,2025
960277,7,29,8,2025
960370,10,29,8,2025
960401,11,29,8,2025
960431,12,29,8,2025
960462,13,29,8,2025
960489,14,29,8,2025
960518,15,29,8,2025
960549,16,29,8,2025
960566,17,29,8,2025
960593,18,29,8,2025
960691,21,29,8,2025
960719,22,29,8,2025
960720,23,29,8,2025
961083,12,30,8,2025
961106,13,30,8,2025
961132,14,30,8,2025
961148,15,30,8,2025
961168,16,30,8,2025
961172,17,30,8,2025
961208,18,30,8,2025
961230,19,30,8,2025
961269,20,30,8,2025
961297,21,30,8,2025
961314,22,30,8,2025
961481,4,31,8,2025
961523,5,31,8,2025
961524,6,31,8,2025
961576,7,31,8,2025
961583,8,31,8,2025
961633,9,31,8,2025
961661,10,31,8,2025
961687,11,31,8,2025
961689,12,31,8,2025
961751,14,31,8,2025
961790,15,31,8,2025
961821,17,31,8,2025
961863,19,31,8,2025
961869,20,31,8,2025
961966,1,1,9,2025
961966,2,1,9,2025
961990,3,1,9,2025
962001,4,1,9,2025
962020,5,1,9,2025
962025,6,1,9,2025
962080,8,1,9,2025
962105,9,1,9,2025
962130,10,1,9,2025
962150,11,1,9,2025
962168,12,1,9,2025
962194,13,1,9,2025
962215,14,1,9,2025
962248,15,1,9,2025
962274,16,1,9,2025
962306,17,1,9,2025
962339,18,1,9,2025
962355,19,1,9,2025
962396,20,1,9,2025
962418,21,1,9,2025
962425,22,1,9,2025
962418,21,1,9,2025
962418,21,1,9,2025
962418,21,1,9,2025
962425,22,1,9,2025
962449,23,1,9,2025
962471,24,1,9,2025
962478,1,2,9,2025
962505,2,2,9,2025
962518,3,2,9,2025
962530,4,2,9,2025
